grb	Eiso	z	n0	epse	epsb	eta	p	alphaopt	betaopt	Av
050416A	1.01693328009e51	0.6535	27.1895	0.2833	7.1283e-5	0.499	2.2451	-0.9338	-0.6225	0.19
050525A	2.40600180804e52	0.606	0.99	0.250811	7.39052e-6	0.166358	3.06342	-1.5476	-1.0317	0.23
050820A	2.0305591581e53	2.612	1.8154	0.5351	3.991371e-4	0.8	2.2488	-0.9366	-0.6244	0.07
050922C	4.56118856769e52	2.198	15	0.0593273	0.0201934	0.753021	2.3875	-1.0406	-0.6938	0.07
60115	8.86504087347e+52	3.53	0.31	0.127409	0.382087	0.962073	2.12469	-0.8435	-0.5623	0.0
60908	9.47652809521e52	1.1884	1.3	0.0185255	0.00241974	0.714209	2.39433	-1.0457	-0.6972	0.02
61007	9.14073184125e53	1.261	1400	0.00118107	1.27912e-5	0.026378	3.24602	-1.6845	-1.1230	0.1
61121	2.8211565059e53	1.314	0.14	0.072012	0.000756677	0.691773	2.2974	-0.9731	-0.6487	0.28
070612A	2.99737412787e52	0.617	1.8	0.138804	0.00988759	0.71149	2.05	-0.7875	-0.5250	0.46
071010B	2.35369323294e52	0.947	2.4	0.167723	0.000812132	0.697498	2.0839	-0.65	-0.5419	0
71020	1.40553925627e53	2.145	7.3	0.0574844	0.00143266	0.692611	2.06388	-0.7979	-0.5319	0.28
080319B	1.20364356095e54	0.937	0.14	0.325771	1.0e-8	0.0482434	2.68757	-1.2657	-0.8438	0.07
080413A	1.29658845229e53	2.433	570	0.0120793	4.02296e-6	0.0252399	3.199	-1.6492	-1.0995	0.15
080413B	1.8525223675e52	1.1	100	0.218528	0.00165965	0.798543	2.10914	-0.8319	-0.5546	0.05
80605	2.75954342041e53	1.64	0.012	0.925493	0.000184909	0.541572	2.05	-0.7875	-0.5250	0.34
80721	9.10006891126e53	2.591	130	0.00604611	2.79422e-6	0.0208915	2.72433	-1.2932	-0.8622	0.35
80804	1.97956387119e53	2.2045	3.5	0.0393603	0.000210187	0.648911	2.29041	-0.9678	-0.6452	0.15
80810	5.85785974008e53	3.355	3.60	0.0104179	0.000377468	0.256158	2.62559	-1.2192	-0.8128	0.0
81007	1.23790759191e51	0.5295	0.0843	0.4834	0.0208	0.7145	2.0985	-0.8239	-0.5493	0.0
81008	1.27038357754e53	1.9685	6.25	0.0248113	0.0846113	0.546702	2.40278	-1.3021	-1.2014	0.36
81121	1.95683296584e53	2.512	510	0.0227688	2.41737e-5	0.172159	2.3201	-0.9901	-0.6601	0.23
81222	2.02797754409e+53	2.77	32	0.079694	4.51389e-6	0.334094	2.4329	-1.0747	-0.7165	0.0
90102	1.59568769675e53	1.543	1.0	0.162451	3.93507e-6	0.253128	2.3108	-0.9822	-0.6548	0.45
090418A	1.37465265636e53	1.608	0.50	0.0622208	0.0279576	0.899823	2.42709	-1.0703	-0.7135	0.6
90424	3.53550024255e52	0.544	0.07	0.338949	0.000529311	0.74216	2.32131	-0.9910	-0.6607	0.5
90519	3.42979674845e53	3.85	0.0119	0.5806	2.2332e-6	0.4732	2.6679	-1.2509	-0.8339	0.0
90618	2.29489367224e53	0.54	9.3	0.129691	2.96392e-5	0.766475	2.4	-1.05	-0.70	0.25
90812	4.32576333949e+53	2.452	110	0.01407	6.62994e-5	0.215935	2.65439	-1.2408	-0.8272	0.46
91020	6.80552760124e52	1.71	1000	0.0706037	3.74601e-5	0.463045	2.52815	-1.1461	-0.7641	0.36
91029	9.46058333733e52	2.752	32	0.423056	0.00474533	0.95591	2.18388	-0.8879	-0.5919	0.0
91127	1.38521317465e52	0.49	1.4	0.838619	8.13139e-6	0.276399	2.4965	-1.1224	-0.7483	0.11
091208B	2.49846165128e52	1.063	22	0.109789	0.00175577	0.741552	2.05	-0.7875	-0.5250	0.4
100728B	5.65887760137e52	2.106	1900	0.0141779	0.000569576	0.359377	2.0601	-0.7951	-0.53	0.35
100814A	1.16527758172e53	1.44	0.57	0.923815	5.92232e-5	0.623297	2.05	-0.7875	-0.5250	0.11
110205A	5.78165161751e53	2.22	48	0.027739	0.0229081	0.666398	2.76188	-1.3214	-0.8809	0.6
110422A	6.60365619689e53	1.77	0.17	0.843667	2.39684e-6	0.441257	2.11534	-0.8365	-0.5577	0.15
110503A	1.78419601614e53	1.613	240	0.109998	1.21226e-5	0.704027	2.14832	-0.8612	-0.5742	0.1
110731A	3.98373318686e53	2.83	2.1e-3	0.955928	0.019897	0.979613	2.56512	-1.1738	-0.7826	0.18
120326A	4.07920763305e52	1.798	1.0e-3	0.45639	0.0140974	0.20288	3.05818	-1.5436	-1.0291	0.25
120811C	7.41807715327e52	2.671	1.4	0.185444	1.27705e-5	0.313811	2.412	-1.0590	-0.7060	0.0
120907A	2.68378154165e51	0.970	70	0.739516	4.11492e-6	0.39555	2.30844	-0.9813	-0.6542	0.005
121211A	4.87049097405e51	1.023	1.4	0.199682	1.6090e-5	0.0866476	2.66079	-1.2456	-0.8304	0.38
130408A	2.13880431234e53	3.758	640	0.0159382	3.21023e-6	0.0401635	2.74739	-1.3105	-0.8737	0.06
130420A	4.61482061545e52	1.297	0.32	0.856369	0.0405717	0.981104	2.20001	-0.9000	-0.6000	0.21
130427A	8.19333736555e53	0.3399	0.53	0.0112122	0.000122745	0.408581	2.65572	-1.2418	-0.8279	0.25
130505A	2.20264099072e54	2.27	1.3	0.0256374	2.79739e-5	0.319488	2.24334	-0.932505	-0.62167	0.2
130610A	9.59268371102e52	2.092	0.01	0.149579	0.623573	0.968124	2.48867	-1.1165	-0.7443	0.2
130701A	3.52113599645e52	1.155	360	0.0269224	1.04388e-5	0.253175	2.36369	-1.0228	-0.6818	0.09
130831A	7.74594949912e51	0.4791	760	0.327684	0.000191128	0.949999	2.09673	-0.8225	-0.5484	0.07
140213A	1.07470721482e53	1.2076	970	0.019782	1.30504e-6	0.134783	2.23075	-0.9231	-0.6154	0.0592
140419A	1.91660908192e54	3.956	780	0.00979408	4.00807e-5	0.22735	2.31652	-0.9874	-0.6583	0.1
140423A	6.79658969426e53	3.26	280	0.0113852	5.23339e-6	0.275778	2.35556	-1.0167	-0.6778	0.1
140506A	1.28000786977e52	0.889	52	0.767746	3.79582e-5	0.71272	2.05036	-0.7878	-0.5252	0.20
140512A	9.44233979e52	0.725	1.8	0.915929	1.33616e-8	0.0679025	2.29821	-0.9737	-0.6491	0.0982
140703A	2.09566548884e53	3.14	0.45	0.400273	2.96673e-5	0.292956	2.95089	0.5	0.33	0.27

