E_iso	n0	eps_e	eps_b	eta	p
1.01693328009e51	27.1895	0.2833	7.1283e-5	0.499	2.2451
2.40600180804e52	0.99	0.250811	7.39052e-6	0.166358	3.06342
2.0305591581e53	1.8154	0.5351	3.991371e-4	0.8	2.2488
4.56118856769e52	15	0.0593273	0.0201934	0.753021	2.3875
8.86504087347e+52	0.31	0.127409	0.382087	0.962073	2.12469
9.47652809521e52	1.3	0.0185255	0.00241974	0.714209	2.39433
9.14073184125e53	1400	0.00118107	1.27912e-5	0.026378	3.24602
2.8211565059e53	0.14	0.072012	0.000756677	0.691773	2.2974
2.99737412787e52	1.8	0.138804	0.00988759	0.71149	2.05
2.35369323294e52	2.4	0.167723	0.000812132	0.697498	2.0839
1.40553925627e53	7.3	0.0574844	0.00143266	0.692611	2.06388
1.20364356095e54	0.14	0.325771	1.0e-8	0.0482434	2.68757
1.29658845229e53	570	0.0120793	4.02296e-6	0.0252399	3.199
1.8525223675e52	100	0.218528	0.00165965	0.798543	2.10914
2.75954342041e53	0.012	0.925493	0.000184909	0.541572	2.05
9.10006891126e53	130	0.00604611	2.79422e-6	0.0208915	2.72433
1.97956387119e53	3.5	0.0393603	0.000210187	0.648911	2.29041
5.85785974008e53	3.60	0.0104179	0.000377468	0.256158	2.62559
1.23790759191e51	0.0843	0.4834	0.0208	0.7145	2.0985
1.27038357754e53	6.25	0.0248113	0.0846113	0.546702	2.40278
1.95683296584e53	510	0.0227688	2.41737e-5	0.172159	2.3201
2.02797754409e+53	32	0.079694	4.51389e-6	0.334094	2.4329
1.59568769675e53	1.0	0.162451	3.93507e-6	0.253128	2.3108
1.37465265636e53	0.50	0.0622208	0.0279576	0.899823	2.42709
3.53550024255e52	0.07	0.338949	0.000529311	0.74216	2.32131
3.42979674845e53	0.0119	0.5806	2.2332e-6	0.4732	2.6679
2.29489367224e53	9.3	0.129691	2.96392e-5	0.766475	2.4
4.32576333949e+53	110	0.01407	6.62994e-5	0.215935	2.65439
6.80552760124e52	1000	0.0706037	3.74601e-5	0.463045	2.52815
9.46058333733e52	32	0.423056	0.00474533	0.95591	2.18388
1.38521317465e52	1.4	0.838619	8.13139e-6	0.276399	2.4965
2.49846165128e52	22	0.109789	0.00175577	0.741552	2.05
5.65887760137e52	1900	0.0141779	0.000569576	0.359377	2.0601
1.16527758172e53	0.57	0.923815	5.92232e-5	0.623297	2.05
5.78165161751e53	48	0.027739	0.0229081	0.666398	2.76188
6.60365619689e53	0.17	0.843667	2.39684e-6	0.441257	2.11534
1.78419601614e53	240	0.109998	1.21226e-5	0.704027	2.14832
3.98373318686e53	2.1e-3	0.955928	0.019897	0.979613	2.56512
4.07920763305e52	1.0e-3	0.45639	0.0140974	0.20288	3.05818
7.41807715327e52	1.4	0.185444	1.27705e-5	0.313811	2.412
2.68378154165e51	70	0.739516	4.11492e-6	0.39555	2.30844
4.87049097405e51	1.4	0.199682	1.6090e-5	0.0866476	2.66079
2.13880431234e53	640	0.0159382	3.21023e-6	0.0401635	2.74739
4.61482061545e52	0.32	0.856369	0.0405717	0.981104	2.20001
8.19333736555e53	0.53	0.0112122	0.000122745	0.408581	2.65572
2.20264099072e54	1.3	0.0256374	2.79739e-5	0.319488	2.24334
9.59268371102e52	0.01	0.149579	0.623573	0.968124	2.48867
3.52113599645e52	360	0.0269224	1.04388e-5	0.253175	2.36369
7.74594949912e51	760	0.327684	0.000191128	0.949999	2.09673
1.07470721482e53	970	0.019782	1.30504e-6	0.134783	2.23075
1.91660908192e54	780	0.00979408	4.00807e-5	0.22735	2.31652
6.79658969426e53	280	0.0113852	5.23339e-6	0.275778	2.35556
1.28000786977e52	52	0.767746	3.79582e-5	0.71272	2.05036
9.44233979e52	1.8	0.915929	1.33616e-8	0.0679025	2.29821
2.09566548884e53	0.45	0.400273	2.96673e-5	0.292956	2.95089

