E_iso	n0	eps_e	eps_b	eta	p	E_K
1.02E+051	27.1895	0.2833	7.13E-005	0.499	2.2451	1.02E+51
2.41E+052	0.99	0.250811	7.39E-006	0.166358	3.06342	1.21E+53
2.03E+053	1.8154	0.5351	3.99E-004	0.8	2.2488	5.08E+52
4.56E+052	15	0.0593273	0.0201934	0.753021	2.3875	1.50E+52
8.87E+052	0.31	0.127409	0.382087	0.962073	2.12469	3.49E+51
9.48E+052	1.3	0.0185255	0.00241974	0.714209	2.39433	3.79E+52
9.14E+053	1400	0.00118107	1.28E-005	0.026378	3.24602	3.37E+55
2.82E+053	0.14	0.072012	0.000756677	0.691773	2.2974	1.26E+53
3.00E+052	1.8	0.138804	0.00988759	0.71149	2.05	1.22E+52
2.35E+052	2.4	0.167723	0.000812132	0.697498	2.0839	1.02E+52
1.41E+053	7.3	0.0574844	0.00143266	0.692611	2.06388	6.24E+52
1.20E+054	0.14	0.325771	1.00E-008	0.0482434	2.68757	2.37E+55
1.30E+053	570	0.0120793	4.02E-006	0.0252399	3.199	5.01E+54
1.85E+052	100	0.218528	0.00165965	0.798543	2.10914	4.67E+51
2.76E+053	0.012	0.925493	0.000184909	0.541572	2.05	2.34E+53
9.10E+053	130	0.00604611	2.79E-006	0.0208915	2.72433	4.26E+55
1.98E+053	3.5	0.0393603	0.000210187	0.648911	2.29041	1.07E+53
5.86E+053	3.6	0.0104179	0.000377468	0.256158	2.62559	1.70E+54
1.24E+051	0.0843	0.4834	0.0208	0.7145	2.0985	4.95E+50
1.27E+053	6.25	0.0248113	0.0846113	0.546702	2.40278	1.05E+53
1.96E+053	510	0.0227688	2.42E-005	0.172159	2.3201	9.41E+53
2.03E+053	32	0.079694	4.51E-006	0.334094	2.4329	4.04E+53
1.60E+053	1	0.162451	3.94E-006	0.253128	2.3108	4.71E+53
1.37E+053	0.5	0.0622208	0.0279576	0.899823	2.42709	1.53E+52
3.54E+052	0.07	0.338949	0.000529311	0.74216	2.32131	1.23E+52
3.43E+053	0.0119	0.5806	2.23E-006	0.4732	2.6679	3.82E+53
2.29E+053	9.3	0.129691	2.96E-005	0.766475	2.4	6.99E+52
4.33E+053	110	0.01407	6.63E-005	0.215935	2.65439	1.57E+54
6.81E+052	1000	0.0706037	3.75E-005	0.463045	2.52815	7.89E+52
9.46E+052	32	0.423056	0.00474533	0.95591	2.18388	4.36E+51
1.39E+052	1.4	0.838619	8.13E-006	0.276399	2.4965	3.63E+52
2.50E+052	22	0.109789	0.00175577	0.741552	2.05	8.71E+51
5.66E+052	1900	0.0141779	0.000569576	0.359377	2.0601	1.01E+53
1.17E+053	0.57	0.923815	5.92E-005	0.623297	2.05	7.04E+52
5.78E+053	48	0.027739	0.0229081	0.666398	2.76188	2.89E+53
6.60E+053	0.17	0.843667	2.40E-006	0.441257	2.11534	8.36E+53
1.78E+053	240	0.109998	1.21E-005	0.704027	2.14832	7.50E+52
3.98E+053	2.10E-003	0.955928	0.019897	0.979613	2.56512	8.29E+51
4.08E+052	1.00E-003	0.45639	0.0140974	0.20288	3.05818	1.60E+53
7.42E+052	1.4	0.185444	1.28E-005	0.313811	2.412	1.62E+53
2.68E+051	70	0.739516	4.11E-006	0.39555	2.30844	4.10E+51
4.87E+051	1.4	0.199682	1.61E-005	0.0866476	2.66079	5.13E+52
2.14E+053	640	0.0159382	3.21E-006	0.0401635	2.74739	5.11E+54
4.61E+052	0.32	0.856369	0.0405717	0.981104	2.20001	8.89E+50
8.19E+053	0.53	0.0112122	0.000122745	0.408581	2.65572	1.19E+54
2.20E+054	1.3	0.0256374	2.80E-005	0.319488	2.24334	4.69E+54
9.59E+052	0.01	0.149579	0.623573	0.968124	2.48867	3.16E+51
3.52E+052	360	0.0269224	1.04E-005	0.253175	2.36369	1.04E+53
7.75E+051	760	0.327684	0.000191128	0.949999	2.09673	4.08E+50
1.07E+053	970	0.019782	1.31E-006	0.134783	2.23075	6.90E+53
1.92E+054	780	0.00979408	4.01E-005	0.22735	2.31652	6.51E+54
6.80E+053	280	0.0113852	5.23E-006	0.275778	2.35556	1.78E+54
1.28E+052	52	0.767746	3.80E-005	0.71272	2.05036	5.16E+51
9.44E+052	1.8	0.915929	1.34E-008	0.0679025	2.29821	1.30E+54
2.10E+053	0.45	0.400273	2.97E-005	0.292956	2.95089	5.06E+53

