Rc	beta	alpha
20	0.17	1.25
19.5	0.41	2.67
18.5	0.46	0.46
18.5	0.64	1.01
17.5	0.28	0.47
17.5	1.15	0.02
16.5	0.76	1.06
16.5	0.52	0.74
16.5	0.52	0.29
15.5	0.69	0.10
15.5	0.36	1.76
15.5	0.72	1.19
15.5	0.45	0.97
14.5	0.99	1.63
14.5	0.51	0.92
14.5	0.57	0.12
14.5	0.81	1.64
13.5	0.69	-
13.5	0.35	-
13.5	0.65	-
13.5	1.11	-
13.5	0.30	-	
12.5	1.07	-
12.5	0.82	-
12.5	0.59	-
12.5	0.46	-
12.5	1.07	-
12.5	0.35	-
12.5	0.61	-
12.5	0.76	-
12.5	0.05	-
12.5	0.69	-
12.5	0.44	-
11.5	0.42	-
11.5	0.11	-
11.5	0.98	-
11.5	0.27	-	
11.5	0.52	-
11.5	0.80	-
10.5	0.79	-
9.5	0.38	-
9.5	1.08	-
9.5	1.01	-
8.5	0.74	-
8.5	2.05	-
7.5	0.74	-
7.5	1.17	-
7	0.97	-
-	0.52	-
-	1.28	-
